row,col
543,245
385,25
582,196
498,242
485,129
509,107
567,304
426,53
428,175
238,92
396,58
394,234
516,161
278,20
208,32
336,243
336,251
558,128
349,184
151,55
345,55
115,128
530,143
169,29
520,40
453,301
429,132
253,12
463,24
500,193
560,278
453,172
446,294
403,100
243,292
515,191
245,132
382,67
326,231
112,136
404,137
407,171
351,238
93,126
542,306
118,31
95,157
417,290
439,182
464,302
98,17
409,258
98,180
124,298
487,302
222,230
346,138
433,34
222,29
284,246
499,132
562,153
357,158
578,247
492,294
484,248
498,177
576,82
434,101
535,172
510,54
368,163
299,97
387,318
321,252
296,19
233,312
480,87
325,272
275,226
503,146
309,287
513,209
554,136
371,234
491,134
233,316
549,197
573,101
116,134
162,14
572,209
206,261
419,302
536,291
166,51
327,174
167,323
560,225
279,128
97,173
246,56
171,314
407,120
353,56
354,214
207,203
358,163
346,281
182,21
99,194
457,110
183,223
100,293
255,281
217,195
385,264
188,100
211,232
575,283
344,71
103,89
231,110
518,92
572,232
355,12
446,183
310,305
482,134
237,222
315,289
232,127
492,116
338,80
247,175
568,171
141,220
471,237
528,288
486,62
89,13
333,91
267,15
585,290
540,299
447,325
476,65
537,322
335,193
147,82
380,170
391,285
289,206
90,242
387,48
490,268
382,284
305,165
150,250
487,282
543,206
426,308
330,198
92,56
350,126
282,227
231,51
401,69
469,10
558,92
341,318
258,64
519,98
306,56
114,312
394,201
236,199
547,240
211,312
329,62
210,44
335,50
280,15
162,47
162,162
207,154
331,225
378,186
463,324
542,23
292,142
393,222
119,111
311,88
532,162
536,105
280,240
422,216
294,281
334,178
202,280
269,295
412,111
491,182
295,253
122,25
237,159
262,44
174,14
174,27
513,284
83,23
498,260
98,188
307,225
378,303
179,11
426,119
438,274
463,98
492,228
504,156
346,102
321,230
258,86
426,65
184,231
336,274
426,286
328,215
216,73
58,25
234,185
285,60
129,27
102,244
449,67
310,47
377,220
130,312
190,255
331,253
411,272
549,275
514,90
322,326
194,76
366,241
448,311
588,109
480,267
416,172
275,47
238,230
499,37
429,276
568,299
383,249
203,85
548,214
437,143
137,22
298,170
313,268
306,50
279,87
212,148
518,112
521,88
282,19
139,58
65,14
497,247
287,225
381,176
141,228
403,209
350,99
523,326
107,128
310,131
481,271
440,32
489,161
249,197
350,137
387,198
536,29
234,154
251,89
294,285
451,254
545,229
438,243
476,98
351,196
484,115
147,37
284,207
294,167
411,193
514,308
474,290
43,21
526,110
110,235
398,23
561,163
501,118
413,262
374,180
70,13
348,243
438,110
457,117
368,59
373,306
451,137
424,153
92,39
506,93
535,117
267,109
387,279
351,130
153,16
443,117
153,201
382,277
309,63
450,162
92,79
425,233
486,12
501,165
242,250
547,173
395,67
355,199
556,169
156,51
418,206
395,49
93,32
238,33
389,269
572,213
93,72
290,265
373,276
299,159
463,89
313,211
332,107
423,242
505,208
489,322
207,17
346,195
336,295
244,321
226,72
520,68
265,67
487,217
534,49
530,97
94,141
288,154
197,32
530,323
77,11
317,78
208,158
559,290
489,222
352,71
336,225
354,269
118,222
584,191
119,17
350,273
430,62
323,98
423,268
402,11
405,30
167,245
207,56
564,322
323,126
575,298
537,313
490,154
450,41
369,168
218,294
481,301
80,313
528,76
395,89
196,36
481,164
541,240
235,168
297,80
121,238
505,183
405,305
244,187
543,70
442,41
298,270
478,14
83,13
202,106
198,86
238,63
320,103
356,254
211,74
441,194
379,94
295,326
419,320
464,83
474,315
381,110
407,188
178,111
323,109
207,82
124,36
272,250
297,35
526,106
526,27
345,297
329,269
413,64
181,201
555,203
182,33
125,199
488,166
584,284
453,129
277,263
183,67
311,291
529,39
274,255
243,255
211,202
368,41
459,134
374,316
345,156
186,84
230,70
484,277
552,307
101,211
515,325
128,172
493,188
102,223
286,80
564,79
445,97
572,157
246,99
341,118
472,206
286,46
480,72
513,62
190,83
477,32
334,45
408,36
488,197
542,36
459,247
461,292
481,234
373,90
193,59
317,190
452,103
103,103
521,137
506,151
338,123
194,281
463,58
345,275
555,288
589,212
