row,col
86,193
322,287
334,255
85,153
254,230
121,327
153,94
170,211
307,354
260,279
38,118
92,301
61,333
309,236
308,363
95,212
185,272
273,176
262,218
221,111
281,279
184,114
274,263
71,225
327,158
97,153
41,351
51,21
286,335
314,341
165,52
167,272
294,353
232,271
89,155
177,35
367,362
444,303
107,128
305,329
86,284
107,177
295,363
128,18
226,272
489,356
50,331
219,184
284,147
108,213
171,159
28,43
308,344
62,155
17,166
163,217
161,32
265,151
35,340
77,111
83,210
45,319
75,252
119,254
96,304
105,278
144,44
393,321
439,272
49,328
116,223
25,321
367,146
67,13
493,207
450,178
490,204
38,210
79,329
8,71
139,24
274,268
58,325
164,169
112,201
58,12
445,257
286,271
457,213
74,109
181,96
70,176
60,229
282,232
232,232
453,189
55,116
461,293
203,248
44,179
208,147
221,229
178,117
106,200
433,144
114,236
231,168
488,167
301,216
60,163
335,265
315,265
133,100
22,19
482,298
388,347
106,88
286,173
220,173
119,227
461,284
283,35
36,362
28,144
357,362
468,197
141,122
334,268
208,82
56,22
250,168
354,330
49,366
337,197
119,267
215,270
456,174
84,82
130,42
322,268
466,321
322,186
290,331
162,95
232,174
25,328
458,206
309,334
82,227
502,179
