rows,cols
303,298
39,65
28,76
85,145
75,144
106,146
86,117
137,148
77,116
116,147
138,120
206,181
197,180
198,153
118,119
5,6
207,154
284,359
116,174
99,293
115,203
13,13
176,179
137,177
37,29
174,214
313,309
177,157
177,130
168,156
13,342
169,128
109,225
198,188
107,357
146,156
147,128
25,19
293,323
211,238
108,292
108,118
84,172
146,150
45,113
129,234
105,174
196,208
19,336
135,214
189,237
208,126
98,184
32,23
57,114
7,351
33,347
254,314
107,127
251,343
114,234
103,339
248,318
198,125
226,158
240,316
85,325
56,345
208,267
206,209
55,141
115,184
192,267
105,183
13,356
177,266
305,151
142,353
175,360
231,159
26,354
112,348
305,280
137,355
239,105
272,101
6,96
257,116
97,205
121,361
283,375
287,397
117,240
124,351
183,370
37,375
206,133
73,338
21,348
112,257
8,101
130,264
104,300
176,273
66,152
115,264
226,165
130,285
175,373
92,319
124,242
250,120
257,123
128,278
115,213
74,328
69,344
199,134
169,321
116,277
130,271
249,296
312,337
114,271
184,264
233,132
245,299
214,344
65,168
27,330
143,324
134,320
108,191
66,283
213,247
268,390
160,239
179,349
123,261
313,153
44,140
215,316
30,88
248,306
279,96
59,267
209,318
257,384
305,133
250,253
37,363
113,249
43,366
160,372
331,323
95,351
125,186
122,282
65,276
305,127
148,238
5,76
249,200
42,354
14,105
193,376
140,280
101,330
34,121
204,346
125,312
245,385
157,244
249,227
5,83
329,339
49,376
55,127
175,312
5,122
66,327
55,373
172,592
248,174
301,90
151,244
241,376
248,356
184,335
151,212
31,148
186,246
306,168
316,171
72,312
265,312
152,370
173,327
42,87
233,142
300,108
180,319
278,285
313,128
245,267
222,261
330,304
25,116
256,199
314,76
265,279
24,142
252,277
241,141
174,300
270,298
256,225
327,292
22,112
219,266
121,382
225,183
26,127
297,262
186,311
191,293
210,308
225,339
328,280
313,94
130,370
111,322
237,365
305,116
54,356
247,148
297,210
192,341
51,189
241,168
140,370
164,362
225,323
203,334
298,184
224,210
203,359
327,158
164,351
258,176
103,312
297,236
179,594
21,154
145,305
308,190
52,321
323,133
49,335
20,293
153,301
260,100
234,185
250,210
218,253
219,108
146,288
48,272
251,159
234,212
227,285
165,594
42,296
250,237
265,361
64,101
71,101
233,240
100,94
53,303
48,152
45,155
251,184
155,291
10,314
14,310
123,104
156,98
143,386
43,44
232,336
19,318
32,160
259,151
159,296
36,276
154,336
331,381
136,106
5,163
5,49
233,267
210,102
36,310
38,328
202,101
227,368
331,147
125,422
80,365
280,312
320,379
44,183
327,180
84,377
269,266
292,566
326,112
90,376
9,55
71,190
312,211
74,255
85,277
219,372
40,288
13,173
59,248
217,377
331,61
330,119
331,80
21,279
310,235
15,137
271,323
261,187
262,136
311,256
57,387
10,235
291,347
65,243
47,252
17,205
217,289
48,236
160,343
327,203
35,259
305,372
250,398
203,594
5,230
307,594
20,47
26,181
5,197
247,410
243,594
302,587
331,246
85,234
99,499
21,193
6,178
57,208
21,185
20,179
65,224
51,245
324,252
331,221
223,470
59,225
285,552
199,574
323,232
166,398
230,470
5,218
327,481
66,233
73,222
234,436
23,214
319,478
158,421
311,481
157,410
79,394
40,419
19,400
227,505
331,35
88,395
330,395
242,541
223,529
20,228
331,49
199,566
33,233
217,594
76,214
155,594
47,441
239,532
48,210
12,413
21,556
8,212
242,437
23,526
264,511
305,563
57,549
16,511
273,564
13,515
101,411
21,242
46,500
195,504
132,578
318,356
5,302
26,225
192,546
72,397
35,407
214,562
39,497
41,218
127,594
101,425
37,516
28,561
302,402
303,572
326,264
222,542
315,457
285,434
22,513
220,547
59,583
46,594
32,399
326,458
34,523
256,432
252,567
52,448
53,594
267,533
284,131
302,468
266,553
53,581
190,508
195,513
289,466
177,398
257,477
272,458
299,409
173,528
82,532
265,460
273,528
311,409
314,416
141,566
290,587
144,560
15,249
327,524
89,436
319,525
16,455
25,407
139,409
235,507
50,420
304,485
311,441
114,462
84,404
249,482
43,552
227,395
321,407
43,563
118,522
186,513
241,457
301,442
171,486
103,531
247,461
235,570
88,410
134,525
237,489
174,510
176,419
291,487
297,72
151,566
145,479
245,488
